Conc1	1E-07	
Start1	690.02	
Stop1	2789.83	
Kobs	0.0013827313005384	
Error Kobs	4.38955840558243E-06	
Koff	0.00297290149362234	
Error Koff	NaN	
Time1	Data1	Fit1	
824.82	0.06197234	0.06137233	
825.02	0.06203095	0.06142135	
825.22	0.06209697	0.06147037	
825.42	0.06235308	0.06151936	
825.62	0.06242997	0.06156835	
825.82	0.06232025	0.06161732	
826.02	0.06262947	0.06166628	
826.22	0.06245232	0.06171522	
826.42	0.06234644	0.06176415	
826.62	0.06210363	0.06181307	
826.82	0.06204494	0.06186197	
827.02	0.06224274	0.06191086	
827.22	0.06235586	0.06195974	
827.42	0.0619063	0.0620086	
827.62	0.0619518	0.06205745	
827.82	0.06217386	0.06210629	
828.02	0.06262834	0.06215511	
828.22	0.06328211	0.06220392	
828.42	0.06317527	0.06225271	
828.62	0.06326198	0.06230149	
828.82	0.06343084	0.06235026	
829.02	0.0632032	0.06239902	
829.22	0.06310102	0.06244776	
829.42	0.06310581	0.06249649	
829.62	0.06234524	0.0625452	
829.82	0.06241335	0.0625939	
830.02	0.06248179	0.06264259	
830.22	0.06201137	0.06269126	
830.42	0.06158769	0.06273992	
830.62	0.06141684	0.06278857	
830.82	0.06105296	0.0628372	
831.02	0.06135881	0.06288582	
831.22	0.06105188	0.06293443	
831.42	0.06081451	0.06298302	
831.62	0.06057861	0.0630316	
831.82	0.06140584	0.06308017	
832.02	0.06136212	0.06312872	
832.22	0.06216125	0.06317726	
832.42	0.06238195	0.06322579	
832.62	0.06306	0.0632743	
832.82	0.06379187	0.0633228	
833.02	0.06393045	0.06337129	
833.22	0.06416321	0.06341976	
833.42	0.06431394	0.06346822	
833.62	0.06407898	0.06351667	
833.82	0.06467134	0.0635651	
834.02	0.06483675	0.06361352	
834.22	0.06479272	0.06366192	
834.42	0.06467037	0.06371031	
834.62	0.0646817	0.06375869	
834.82	0.06461471	0.06380706	
835.02	0.06483984	0.06385541	
835.22	0.064695	0.06390375	
835.42	0.06498768	0.06395207	
835.62	0.06506478	0.06400039	
835.82	0.06554886	0.06404868	
836.02	0.06533662	0.06409697	
836.22	0.06544943	0.06414524	
836.42	0.06496854	0.0641935	
836.62	0.06510192	0.06424175	
