Conc1	1E-10	
Start1	450.03	
Stop1	2549.82	
Kobs	0.00296991435847791	
Error Kobs	0.000580990947569767	
Koff	0.00304361578885207	
Error Koff	NaN	
Time1	Data1	Fit1	
540.83	0.01220039	0.01131411	
541.03	0.01213691	0.01132473	
541.23	0.01155408	0.01133534	
541.43	0.01147475	0.01134595	
541.63	0.01116054	0.01135656	
541.83	0.01107979	0.01136715	
542.03	0.01150786	0.01137774	
542.23	0.01185968	0.01138833	
542.43	0.01189965	0.01139891	
542.63	0.01240716	0.01140949	
542.83	0.0123892	0.01142006	
543.03	0.0128766	0.01143062	
543.23	0.01312489	0.01144118	
543.43	0.01326799	0.01145174	
543.63	0.01365818	0.01146228	
543.83	0.01368538	0.01147283	
544.03	0.01348587	0.01148337	
544.23	0.01335489	0.0114939	
544.43	0.01298719	0.01150443	
544.63	0.01254374	0.01151495	
544.83	0.01194299	0.01152546	
545.03	0.01173672	0.01153597	
545.23	0.01084	0.01154648	
545.43	0.01056983	0.01155698	
545.63	0.0105526	0.01156747	
545.83	0.01050548	0.01157796	
546.03	0.01097417	0.01158845	
546.23	0.01144273	0.01159893	
546.43	0.011345	0.0116094	
546.63	0.01119992	0.01161987	
546.83	0.01125536	0.01163033	
547.03	0.01170733	0.01164079	
547.23	0.01170235	0.01165124	
547.43	0.01208127	0.01166169	
547.63	0.01249141	0.01167213	
547.83	0.012484	0.01168256	
548.03	0.01255932	0.01169299	
548.23	0.01298344	0.01170342	
548.43	0.01299537	0.01171384	
548.63	0.01289448	0.01172425	
548.83	0.01279695	0.01173466	
549.03	0.0128708	0.01174507	
549.23	0.01218315	0.01175547	
549.43	0.01186979	0.01176586	
549.63	0.01179861	0.01177625	
549.83	0.01189289	0.01178663	
550.03	0.01209669	0.01179701	
550.23	0.01230691	0.01180738	
550.43	0.01181005	0.01181775	
550.63	0.01174944	0.01182811	
550.83	0.01199849	0.01183846	
551.03	0.01207444	0.01184882	
551.23	0.01213531	0.01185916	
551.43	0.01233713	0.0118695	
551.63	0.01256362	0.01187984	
551.83	0.01247486	0.01189017	
552.03	0.01281062	0.01190049	
552.23	0.01312926	0.01191081	
552.43	0.01339372	0.01192113	
552.63	0.01354628	0.01193143	
552.83	0.01387957	0.01194174	
553.03	0.01355895	0.01195204	
553.23	0.01260733	0.01196233	
553.43	0.01245034	0.01197262	
553.63	0.01260946	0.0119829	
553.83	0.01250624	0.01199318	
554.03	0.01284778	0.01200345	
554.23	0.01273186	0.01201372	
554.43	0.01238713	0.01202398	
554.63	0.012543	0.01203424	
554.83	0.01215155	0.01204449	
555.03	0.01219299	0.01205473	
555.23	0.01201374	0.01206497	
555.43	0.01199626	0.01207521	
555.63	0.01213118	0.01208544	
555.83	0.01192631	0.01209567	
556.03	0.01218537	0.01210589	
556.23	0.01182026	0.0121161	
556.43	0.01220138	0.01212631	
556.63	0.01198343	0.01213651	
556.83	0.01212152	0.01214671	
557.03	0.01154434	0.01215691	
557.23	0.01140344	0.0121671	
557.43	0.01206291	0.01217728	
557.63	0.01231459	0.01218746	
557.83	0.01202164	0.01219763	
558.03	0.01224031	0.0122078	
558.23	0.01210364	0.01221796	
558.43	0.01211764	0.01222812	
558.63	0.01220395	0.01223827	
558.83	0.01197138	0.01224842	
559.03	0.01214476	0.01225856	
559.23	0.01167464	0.0122687	
559.43	0.01107927	0.01227883	
559.63	0.01107931	0.01228896	
559.83	0.01079818	0.01229908	
560.03	0.0103793	0.0123092	
560.23	0.0102906	0.01231931	
560.43	0.01053667	0.01232942	
560.63	0.01065683	0.01233952	
560.83	0.01081235	0.01234961	
561.03	0.01091854	0.0123597	
561.23	0.01159352	0.01236979	
561.43	0.01205603	0.01237987	
561.63	0.01172517	0.01238995	
561.83	0.01153547	0.01240002	
562.03	0.01184429	0.01241008	
562.23	0.01224727	0.01242014	
562.43	0.01227983	0.0124302	
562.63	0.01237019	0.01244025	
562.83	0.01223238	0.01245029	
563.03	0.01218081	0.01246033	
563.23	0.01190836	0.01247037	
563.43	0.01201821	0.0124804	
563.63	0.01239159	0.01249042	
563.83	0.01242895	0.01250044	
564.03	0.0125873	0.01251046	
564.23	0.01279591	0.01252047	
564.43	0.01267091	0.01253047	
