Conc1	2.5E-07	
Start1	450.03	
Stop1	2549.84	
Kobs	0.274215631591234	
Error Kobs	0.00343146478888905	
Koff	0.0033192808875656	
Error Koff	NaN	
Time1	Data1	Fit1	
532.43	0.23259924	0.23088233	
532.63	0.23252688	0.23099641	
532.83	0.23186885	0.23111044	
533.03	0.2316787	0.23122442	
533.23	0.23199678	0.23133835	
533.43	0.23216453	0.23145224	
533.63	0.23160776	0.23156608	
533.83	0.23172231	0.23167987	
534.03	0.2314781	0.23179361	
534.23	0.23197993	0.2319073	
534.43	0.23205189	0.23202095	
534.63	0.23169664	0.23213455	
534.83	0.23253603	0.23224811	
535.03	0.23265836	0.23236161	
535.23	0.23288135	0.23247507	
535.43	0.23318129	0.23258848	
535.63	0.23385763	0.23270184	
535.83	0.23447224	0.23281516	
536.03	0.2344397	0.23292843	
536.23	0.23476055	0.23304165	
536.43	0.23531073	0.23315482	
536.63	0.2354429	0.23326794	
536.83	0.23561736	0.23338102	
537.03	0.23583463	0.23349405	
537.23	0.23593016	0.23360704	
537.43	0.23600145	0.23371997	
537.63	0.23587052	0.23383286	
537.83	0.23622299	0.23394571	
538.03	0.23652147	0.2340585	
538.23	0.23645286	0.23417125	
538.43	0.23595538	0.23428395	
538.63	0.23593236	0.2343966	
538.83	0.23629394	0.23450921	
539.03	0.23611076	0.23462177	
539.23	0.23606453	0.23473428	
539.43	0.23616681	0.23484675	
539.63	0.23625339	0.23495916	
539.83	0.23623287	0.23507153	
540.03	0.23626126	0.23518386	
540.23	0.23671404	0.23529613	
540.43	0.23618254	0.23540836	
540.63	0.2357178	0.23552055	
540.83	0.2352921	0.23563268	
541.03	0.23514739	0.23574477	
541.23	0.23564203	0.23585681	
541.43	0.23630823	0.23596881	
541.63	0.2365011	0.23608076	
541.83	0.23688357	0.23619266	
542.03	0.23769995	0.23630451	
542.23	0.23783846	0.23641632	
542.43	0.23806009	0.23652808	
542.63	0.2383822	0.2366398	
542.83	0.23863947	0.23675146	
543.03	0.23870095	0.23686309	
543.23	0.23873978	0.23697466	
543.43	0.23863619	0.23708619	
543.63	0.23793511	0.23719767	
543.83	0.23797785	0.2373091	
544.03	0.23816481	0.23742049	
544.23	0.23798551	0.23753183	
544.43	0.23744004	0.23764313	
544.63	0.23724496	0.23775437	
544.83	0.2370109	0.23786557	
545.03	0.23732151	0.23797673	
545.23	0.23790273	0.23808784	
545.43	0.23823076	0.2381989	
545.63	0.23845074	0.23830991	
545.83	0.23861458	0.23842088	
546.03	0.23902845	0.23853181	
546.23	0.23932096	0.23864268	
546.43	0.23983375	0.23875351	
546.63	0.240078	0.23886429	
546.83	0.24037463	0.23897503	
547.03	0.24107463	0.23908572	
547.23	0.24139672	0.23919636	
547.43	0.24123961	0.23930696	
547.63	0.24130639	0.23941751	
547.83	0.24179046	0.23952802	
