Conc1	5E-09	
Start1	689.99	
Stop1	2789.79	
Kobs	0.00380373082482393	
Error Kobs	NaN	
Koff	0.00322384717252245	
Error Koff	NaN	
Time1	Data1	Fit1	
760.19	0.05167017	0.06317584	
760.39	0.05220884	0.06331751	
760.59	0.0523515	0.06345907	
760.79	0.05238801	0.06360053	
760.99	0.05248481	0.06374188	
761.19	0.05263818	0.06388312	
761.39	0.05280287	0.06402426	
761.59	0.05321199	0.06416528	
761.79	0.05375368	0.0643062	
761.99	0.05406692	0.06444702	
762.19	0.05485175	0.06458772	
762.39	0.05494848	0.06472832	
762.59	0.05527866	0.06486881	
762.79	0.05572403	0.0650092	
762.99	0.05616432	0.06514948	
763.19	0.05673821	0.06528965	
763.39	0.05711058	0.06542971	
763.59	0.05713933	0.06556967	
763.79	0.05693325	0.06570952	
763.99	0.05713106	0.06584927	
764.19	0.05720463	0.06598891	
764.39	0.05687687	0.06612844	
764.59	0.05653757	0.06626787	
764.79	0.05655678	0.06640719	
764.99	0.05638034	0.0665464	
765.19	0.05619737	0.06668551	
765.39	0.05609054	0.06682452	
765.59	0.05601051	0.06696342	
765.79	0.05608591	0.06710221	
765.99	0.05598559	0.06724089	
766.19	0.05623739	0.06737948	
766.39	0.0556795	0.06751795	
766.59	0.05607748	0.06765632	
766.79	0.05684524	0.06779459	
766.99	0.05706628	0.06793275	
767.19	0.05789548	0.0680708	
767.39	0.05814216	0.06820875	
767.59	0.05922258	0.0683466	
767.79	0.05972266	0.06848434	
767.99	0.06076054	0.06862197	
768.19	0.06101516	0.0687595	
768.39	0.06140491	0.06889693	
768.59	0.06191706	0.06903425	
768.79	0.06167127	0.06917147	
768.99	0.06168184	0.06930858	
769.19	0.06168906	0.06944559	
769.39	0.06144921	0.0695825	
769.59	0.06099221	0.0697193	
769.79	0.06081612	0.06985599	
769.99	0.06056932	0.06999259	
770.19	0.06033674	0.07012907	
770.39	0.05982956	0.07026546	
770.59	0.06027631	0.07040174	
770.79	0.06013579	0.07053792	
770.99	0.06023629	0.07067399	
771.19	0.06079628	0.07080996	
771.39	0.06091692	0.07094583	
771.59	0.06154572	0.07108159	
771.79	0.06125075	0.07121725	
771.99	0.06193777	0.07135281	
772.19	0.06204279	0.07148826	
772.39	0.06232553	0.07162362	
772.59	0.06277544	0.07175886	
772.79	0.0626397	0.07189401	
772.99	0.0627706	0.07202905	
773.19	0.06285433	0.07216399	
773.39	0.06280433	0.07229883	
773.59	0.0626806	0.07243356	
773.79	0.06250898	0.0725682	
773.99	0.06242215	0.07270273	
774.19	0.06275216	0.07283715	
774.39	0.06275504	0.07297148	
774.59	0.06269564	0.0731057	
774.79	0.0623224	0.07323982	
774.99	0.06271414	0.07337384	
775.19	0.06302057	0.07350776	
775.39	0.06340496	0.07364158	
775.59	0.06377211	0.07377529	
775.79	0.06415633	0.0739089	
775.99	0.06513278	0.07404241	
776.19	0.06557521	0.07417582	
776.39	0.06580159	0.07430913	
776.59	0.06599603	0.07444233	
776.79	0.06559882	0.07457544	
776.99	0.06566442	0.07470844	
777.19	0.065192	0.07484135	
777.39	0.06493003	0.07497415	
777.59	0.06468575	0.07510685	
777.79	0.06467995	0.07523945	
777.99	0.06507881	0.07537195	
778.19	0.06530819	0.07550434	
778.39	0.06497278	0.07563664	
778.59	0.06506041	0.07576884	
778.79	0.06500415	0.07590093	
778.99	0.0653323	0.07603293	
779.19	0.06590697	0.07616482	
779.39	0.06630151	0.07629662	
779.59	0.06670793	0.07642831	
779.79	0.06664015	0.07655991	
779.99	0.06715293	0.0766914	
780.19	0.06741769	0.0768228	
780.39	0.06764769	0.07695409	
780.59	0.06754768	0.07708529	
780.79	0.06773948	0.07721638	
780.99	0.06802263	0.07734738	
781.19	0.06762216	0.07747827	
781.39	0.06785212	0.07760907	
781.59	0.06809899	0.07773976	
781.79	0.06819256	0.07787036	
781.99	0.06825323	0.07800086	
782.19	0.06788626	0.07813126	
782.39	0.06790442	0.07826156	
782.59	0.06787554	0.07839176	
782.79	0.06803041	0.07852186	
782.99	0.06845495	0.07865186	
783.19	0.0686403	0.07878177	
783.39	0.06847797	0.07891157	
783.59	0.06834056	0.07904128	
783.79	0.06812726	0.07917088	
783.99	0.06864508	0.07930039	
784.19	0.06902264	0.0794298	
784.39	0.06905749	0.07955912	
784.59	0.06871823	0.07968833	
784.79	0.06925629	0.07981744	
784.99	0.06905972	0.07994646	
785.19	0.06856033	0.08007538	
785.39	0.06820807	0.0802042	
785.59	0.06803916	0.08033292	
785.79	0.06809219	0.08046155	
785.99	0.06810868	0.08059008	
786.19	0.06784471	0.08071851	
786.39	0.06817296	0.08084684	
786.59	0.06843575	0.08097507	
786.79	0.0691874	0.08110321	
786.99	0.06930944	0.08123125	
787.19	0.06954432	0.08135919	
787.39	0.07012949	0.08148704	
787.59	0.07065665	0.08161478	
787.79	0.07122047	0.08174243	
787.99	0.07173418	0.08186999	
788.19	0.0720632	0.08199744	
788.39	0.07223657	0.0821248	
788.59	0.072433	0.08225207	
788.79	0.07287793	0.08237923	
788.99	0.07297919	0.0825063	
789.19	0.07301298	0.08263327	
789.39	0.07299461	0.08276015	
789.59	0.0728829	0.08288693	
789.79	0.07292763	0.08301361	
789.99	0.07239283	0.0831402	
790.19	0.07193563	0.08326669	
790.39	0.07208077	0.08339308	
790.59	0.07232741	0.08351938	
790.79	0.07270473	0.08364558	
