Conc1	5E-10	
Start1	450.03	
Stop1	2549.84	
Kobs	0.0056065490555217	
Error Kobs	NaN	
Koff	0.00317918890311211	
Error Koff	NaN	
Time1	Data1	Fit1	
548.03	0.0441922	0.04499164	
548.23	0.04367044	0.04503018	
548.43	0.04367498	0.04506867	
548.63	0.04365703	0.04510711	
548.83	0.04369793	0.04514552	
549.03	0.04331276	0.04518388	
549.23	0.04320273	0.04522219	
549.43	0.04337608	0.04526047	
549.63	0.0433188	0.0452987	
549.83	0.04331982	0.04533689	
550.03	0.04304531	0.04537503	
550.23	0.04306291	0.04541314	
550.43	0.04347702	0.0454512	
550.63	0.04396603	0.04548921	
550.83	0.0437783	0.04552719	
551.03	0.0439637	0.04556512	
551.23	0.04405159	0.04560301	
551.43	0.04420895	0.04564086	
551.63	0.04408936	0.04567866	
551.83	0.04401258	0.04571643	
552.03	0.04405288	0.04575415	
552.23	0.0439761	0.04579183	
552.43	0.04402939	0.04582946	
552.63	0.04380122	0.04586706	
552.83	0.04349254	0.04590461	
553.03	0.04342982	0.04594212	
553.23	0.04366811	0.04597958	
553.43	0.04364228	0.04601701	
553.63	0.04355211	0.04605439	
553.83	0.04330357	0.04609174	
554.03	0.04320541	0.04612904	
554.23	0.04358481	0.04616629	
554.43	0.04363158	0.04620351	
554.63	0.0438134	0.04624068	
554.83	0.04392111	0.04627782	
555.03	0.04418341	0.04631491	
555.23	0.04502618	0.04635196	
555.43	0.04509733	0.04638897	
555.63	0.0452085	0.04642593	
555.83	0.04546762	0.04646286	
556.03	0.04563251	0.04649974	
556.23	0.04604183	0.04653659	
556.43	0.04612438	0.04657339	
556.63	0.04610677	0.04661015	
556.83	0.04605937	0.04664687	
557.03	0.04621552	0.04668354	
557.23	0.04613801	0.04672018	
557.43	0.04636491	0.04675678	
557.63	0.04637899	0.04679333	
557.83	0.04601802	0.04682984	
558.03	0.04627095	0.04686632	
558.23	0.04674888	0.04690275	
558.43	0.04667865	0.04693914	
558.63	0.04689004	0.04697549	
558.83	0.04714674	0.0470118	
559.03	0.04720967	0.04704807	
559.23	0.04751461	0.0470843	
559.43	0.04756736	0.04712048	
559.63	0.04772933	0.04715663	
559.83	0.04790631	0.04719274	
560.03	0.04717368	0.0472288	
560.23	0.04736264	0.04726483	
560.43	0.04697181	0.04730081	
560.63	0.04655246	0.04733676	
560.83	0.04647397	0.04737266	
561.03	0.04615872	0.04740853	
561.23	0.04633678	0.04744435	
561.43	0.04688425	0.04748014	
561.63	0.04672018	0.04751588	
561.83	0.04652109	0.04755158	
562.03	0.04669245	0.04758725	
562.23	0.04729661	0.04762287	
562.43	0.04711154	0.04765845	
562.63	0.04719416	0.047694	
562.83	0.04709666	0.0477295	
563.03	0.04744161	0.04776497	
563.23	0.04765818	0.04780039	
563.43	0.04772056	0.04783578	
563.63	0.04782348	0.04787112	
563.83	0.04819995	0.04790643	
564.03	0.04785822	0.04794169	
564.23	0.04825045	0.04797692	
564.43	0.04762448	0.04801211	
564.63	0.04759499	0.04804726	
564.83	0.04758389	0.04808236	
565.03	0.04681576	0.04811743	
565.23	0.04693134	0.04815246	
565.43	0.04701594	0.04818745	
565.63	0.04622003	0.0482224	
565.83	0.04597946	0.04825732	
566.03	0.04582946	0.04829219	
566.23	0.04591856	0.04832702	
566.43	0.0454158	0.04836182	
566.63	0.04520863	0.04839657	
566.83	0.04542486	0.04843129	
567.03	0.04593122	0.04846597	
567.23	0.04623582	0.04850061	
567.43	0.04630533	0.04853521	
567.63	0.04699433	0.04856977	
567.83	0.04733274	0.04860429	
568.03	0.0474533	0.04863878	
568.23	0.04795246	0.04867322	
568.43	0.04794258	0.04870763	
568.63	0.04871304	0.048742	
568.83	0.04856084	0.04877633	
569.03	0.04852403	0.04881062	
569.23	0.04895339	0.04884487	
569.43	0.04926373	0.04887909	
569.63	0.0485752	0.04891326	
569.83	0.04916433	0.0489474	
570.03	0.04938335	0.0489815	
570.23	0.04967335	0.04901556	
570.43	0.04956096	0.04904958	
570.63	0.04996987	0.04908357	
570.83	0.05017293	0.04911752	
571.03	0.05066776	0.04915142	
571.23	0.05058977	0.0491853	
571.43	0.05018011	0.04921913	
571.63	0.05002662	0.04925292	
571.83	0.0500512	0.04928668	
572.03	0.05029249	0.0493204	
572.23	0.05040419	0.04935408	
572.43	0.05020569	0.04938773	
572.63	0.04998039	0.04942133	
572.83	0.0494533	0.0494549	
573.03	0.04929193	0.04948843	
573.23	0.04934308	0.04952192	
573.43	0.04905211	0.04955538	
573.63	0.04870182	0.0495888	
573.83	0.04942114	0.04962218	
574.03	0.0490561	0.04965552	
574.23	0.04938089	0.04968883	
574.43	0.04921348	0.0497221	
574.63	0.04947928	0.04975533	
574.83	0.04940734	0.04978852	
575.03	0.04963088	0.04982168	
575.23	0.04946085	0.0498548	
575.43	0.04932916	0.04988788	
575.63	0.0496276	0.04992093	
575.83	0.05006695	0.04995394	
576.03	0.050302	0.04998691	
576.23	0.05028269	0.05001984	
576.43	0.05021869	0.05005274	
576.63	0.04960943	0.0500856	
576.83	0.04955365	0.05011842	
577.03	0.04908481	0.05015121	
577.23	0.0487705	0.05018396	
577.43	0.04809514	0.05021668	
577.63	0.04788197	0.05024935	
577.83	0.04798816	0.05028199	
578.03	0.04774523	0.0503146	
578.23	0.04856732	0.05034717	
578.43	0.04861809	0.0503797	
578.63	0.04842476	0.05041219	
578.83	0.04863587	0.05044465	
579.03	0.04875581	0.05047707	
579.23	0.04933518	0.05050946	
579.43	0.04978966	0.0505418	
579.63	0.05026322	0.05057412	
579.83	0.05110418	0.05060639	
580.03	0.05154944	0.05063863	
580.23	0.05156238	0.05067084	
580.43	0.0515077	0.05070301	
580.63	0.05138056	0.05073514	
580.83	0.05140557	0.05076723	
581.03	0.05119625	0.05079929	
581.23	0.05133785	0.05083132	
581.43	0.05104097	0.05086331	
581.63	0.05144329	0.05089526	
581.83	0.05142051	0.05092718	
582.03	0.05099521	0.05095906	
582.23	0.05073479	0.0509909	
582.43	0.05053471	0.05102271	
582.63	0.05038848	0.05105449	
582.83	0.05049434	0.05108622	
583.03	0.0502612	0.05111793	
583.23	0.05021146	0.05114959	
583.43	0.05027598	0.05118123	
583.63	0.05032181	0.05121282	
583.83	0.05048159	0.05124438	
584.03	0.0506755	0.05127591	
584.23	0.05104553	0.0513074	
584.43	0.05152542	0.05133885	
584.63	0.051767	0.05137027	
584.83	0.0516495	0.05140166	
585.03	0.05207856	0.05143301	
585.23	0.05237012	0.05146432	
585.43	0.05224879	0.0514956	
585.63	0.05288861	0.05152684	
585.83	0.05263455	0.05155805	
586.03	0.05276427	0.05158922	
586.23	0.05262504	0.05162036	
586.43	0.05308391	0.05165147	
586.63	0.05308673	0.05168254	
586.83	0.05282637	0.05171357	
587.03	0.05221692	0.05174457	
587.23	0.05194485	0.05177554	
587.43	0.05159259	0.05180647	
587.63	0.05128003	0.05183736	
587.83	0.05144167	0.05186822	
588.03	0.05183127	0.05189905	
588.23	0.05164637	0.05192984	
588.43	0.0511154	0.0519606	
588.63	0.0510216	0.05199132	
588.83	0.05117549	0.05202201	
589.03	0.05109271	0.05205266	
589.23	0.0512593	0.05208328	
589.43	0.05122323	0.05211387	
589.63	0.05141982	0.05214442	
589.83	0.0516414	0.05217493	
590.03	0.0520045	0.05220542	
590.23	0.0520288	0.05223587	
590.43	0.05254419	0.05226628	
590.63	0.05291446	0.05229666	
590.83	0.0531604	0.05232701	
591.03	0.05322443	0.05235732	
591.23	0.05309487	0.0523876	
591.43	0.05293419	0.05241784	
591.63	0.05309237	0.05244805	
591.83	0.05320977	0.05247823	
592.03	0.05283267	0.05250837	
592.23	0.05266903	0.05253848	
592.43	0.05270061	0.05256855	
592.63	0.05275019	0.0525986	
592.83	0.05230667	0.0526286	
593.03	0.05144085	0.05265858	
593.23	0.05127406	0.05268852	
593.43	0.05102618	0.05271842	
593.63	0.05072309	0.0527483	
593.83	0.05130829	0.05277814	
594.03	0.05180764	0.05280794	
594.23	0.05197005	0.05283772	
594.43	0.05285652	0.05286746	
594.63	0.0534724	0.05289716	
594.83	0.05359302	0.05292684	
595.03	0.05377914	0.05295648	
595.23	0.0533997	0.05298608	
595.43	0.0535965	0.05301566	
595.63	0.05353344	0.0530452	
595.83	0.05331875	0.0530747	
596.03	0.05321295	0.05310418	
596.23	0.05366229	0.05313362	
596.43	0.05398429	0.05316303	
596.63	0.05399501	0.0531924	
596.83	0.05345202	0.05322175	
597.03	0.05312819	0.05325106	
597.23	0.05307258	0.05328033	
597.43	0.05319397	0.05330958	
597.63	0.05284252	0.05333879	
597.83	0.05350282	0.05336796	
598.03	0.0540289	0.05339711	
598.23	0.05419589	0.05342622	
598.43	0.05493988	0.0534553	
598.63	0.05440063	0.05348435	
598.83	0.0539626	0.05351337	
599.03	0.05383285	0.05354235	
599.23	0.05350256	0.0535713	
599.43	0.05323802	0.05360022	
599.63	0.05265244	0.0536291	
599.83	0.0525027	0.05365795	
600.03	0.05272162	0.05368677	
600.23	0.05316878	0.05371556	
600.43	0.05337826	0.05374432	
600.63	0.05332997	0.05377304	
600.83	0.05307352	0.05380173	
601.03	0.05337813	0.05383039	
601.23	0.05357929	0.05385902	
601.43	0.05334779	0.05388762	
601.63	0.05328215	0.05391618	
601.83	0.0536371	0.05394471	
602.03	0.05382	0.05397321	
602.23	0.05400887	0.05400168	
602.43	0.05405155	0.05403011	
602.63	0.05338086	0.05405852	
602.83	0.05337163	0.05408689	
603.03	0.05328179	0.05411523	
603.23	0.05329458	0.05414354	
603.43	0.05302922	0.05417181	
603.63	0.05346255	0.05420006	
603.83	0.05419677	0.05422827	
604.03	0.05483342	0.05425645	
604.23	0.05522213	0.0542846	
604.43	0.05590213	0.05431272	
604.63	0.05663591	0.05434081	
604.83	0.05708969	0.05436886	
605.03	0.05678886	0.05439688	
605.23	0.05649484	0.05442488	
605.43	0.05614389	0.05445284	
605.63	0.05610289	0.05448077	
605.83	0.0557939	0.05450867	
606.03	0.05555511	0.05453653	
606.23	0.05565265	0.05456437	
606.43	0.05461202	0.05459217	
606.63	0.05439793	0.05461995	
606.83	0.05415421	0.05464769	
607.03	0.05405419	0.0546754	
607.23	0.05400603	0.05470308	
607.43	0.05391621	0.05473073	
607.63	0.05452857	0.05475835	
607.83	0.05476211	0.05478594	
608.03	0.05477861	0.05481349	
608.23	0.05467833	0.05484102	
608.43	0.055252	0.05486851	
608.63	0.05523193	0.05489598	
608.83	0.05537769	0.05492341	
609.03	0.05533385	0.05495081	
609.23	0.05543578	0.05497818	
609.43	0.05575057	0.05500553	
609.63	0.05596484	0.05503284	
609.83	0.05590221	0.05506012	
610.03	0.05588628	0.05508737	
610.23	0.05635363	0.05511458	
